timestamp,hobbs_start,hobbs_end,tach_start,tach_end,route,duration,oil_pressure_min,oil_pressure_max,oil_temp_max,cht_max,egt_max,fuel_used_gal,cycles,pilot_notes,tail,flight_index
2025-06-07 21:16:04,5090.0,5091.7,4682.8,4684.4,KPHX-KFLG,1.71,71.6,79.9,182.0,398.2,1278.9,14.3,1,,N2251K,0
2025-06-10 16:04:44,5091.7,5092.8,4684.4,4685.4,KPHX-local,1.08,57.4,65.1,203.6,361.4,1303.5,6.44,1,Crosswind practice.,N2251K,1
2025-06-12 20:51:59,5092.8,5093.4,4685.4,4685.9,KPHX-local,0.56,65.4,71.2,188.3,385.8,1387.8,3.29,1,,N2251K,2
2025-06-14 05:42:52,5093.4,5093.9,4685.9,4686.4,KPHX-KSDL,0.5,70.1,83.1,201.2,388.8,1268.8,3.18,1,,N2251K,3
2025-06-18 07:41:42,5093.9,5094.6,4686.4,4687.0,KPHX-local,0.69,58.6,74.4,209.6,368.1,1322.5,5.53,1,,N2251K,4
2025-06-23 07:50:29,5094.6,5095.4,4687.0,4687.7,KPHX-local,0.8,64.5,69.4,176.8,373.3,1315.7,6.48,1,,N2251K,5
2025-06-26 16:19:40,5095.4,5096.0,4687.8,4688.3,KPHX-local,0.59,66.8,72.8,197.3,380.4,1296.6,4.75,1,,N2251K,6
2025-06-29 15:40:48,5096.0,5096.9,4688.3,4689.1,KPHX-local,0.85,67.3,78.8,196.9,387.3,1375.5,5.5,1,,N2251K,7
2025-06-29 22:56:07,5096.9,5097.5,4689.1,4689.6,KPHX-local,0.59,60.7,73.9,192.9,355.5,1315.6,4.52,1,,N2251K,8
2025-06-30 08:28:28,5097.5,5098.1,4689.7,4690.3,KPHX-local,0.64,61.6,78.6,197.3,381.8,1264.3,4.84,1,,N2251K,9
2025-07-04 12:24:12,5098.1,5098.9,4690.3,4691.1,KPHX-KSDL,0.83,72.5,84.5,196.0,398.2,1366.9,5.99,1,"Pattern work, 6 T&Gs.",N2251K,10
2025-07-07 16:22:30,5098.9,5099.4,4691.0,4691.5,KPHX-KSDL,0.52,64.7,65.3,178.5,371.7,1308.9,3.28,1,,N2251K,11
2025-07-10 18:33:34,5099.4,5099.9,4691.4,4691.9,KPHX-KSDL,0.55,58.0,74.3,201.8,355.6,1378.9,4.36,1,,N2251K,12
2025-07-16 15:18:30,5099.9,5100.8,4691.9,4692.7,KPHX-local,0.87,58.0,71.5,196.8,367.8,1260.8,5.66,1,,N2251K,13
2025-07-21 23:40:23,5100.8,5101.8,4692.7,4693.6,KPHX-local,0.95,58.0,78.4,182.7,387.0,1357.9,7.32,1,,N2251K,14
2025-07-29 07:45:30,5101.8,5102.5,4693.7,4694.3,KPHX-local,0.68,74.7,77.2,195.8,370.2,1327.2,3.2,1,,N2251K,15
2025-07-30 01:12:37,5102.5,5103.0,4694.3,4694.8,KPHX-KSDL,0.54,69.4,70.7,209.3,383.8,1314.9,4.19,1,,N2251K,16
